file,classe,split,source,source_sha256,label_sha256,line,x1,y1,x2,y2,clipped,width,height,sha256,pixel_sha256
train/Capacete/100_jpg.rf.d7ecf9e18d5118f442d08557f3cea4fc__obj001.png,Capacete,train,train/images/100_jpg.rf.d7ecf9e18d5118f442d08557f3cea4fc.jpg,d3c1c9c0c41f54f51f725575af3003a866e3a361a4bf6c9a14ddf8e08b7f6fab,c162305555fc5a95d877608cdd6c8412e0f52bbefc064937ad09f5e894fc8f48,1,202,0,369,313,False,167,313,3489dccda748d077b51bea11ceab48cd96a8c73ef30e27722bf42c4b3e941cb9,8d9b59c259bd5ec745b13404f6c7fd571c44f160a28492d84b662ead3ceb8098
train/Colete/100_jpg.rf.d7ecf9e18d5118f442d08557f3cea4fc__obj002.png,Colete,train,train/images/100_jpg.rf.d7ecf9e18d5118f442d08557f3cea4fc.jpg,d3c1c9c0c41f54f51f725575af3003a866e3a361a4bf6c9a14ddf8e08b7f6fab,c162305555fc5a95d877608cdd6c8412e0f52bbefc064937ad09f5e894fc8f48,2,366,1,639,597,False,273,596,cb506fd4bb48e14d04a30d58c60f01e837db8eade930f28f10d3d70d8cea8fe3,b48ae8a9aff033f28efeed57f7ab310493c378f0d87036742275eda40328a015
train/Pessoa/100_jpg.rf.d7ecf9e18d5118f442d08557f3cea4fc__obj003.png,Pessoa,train,train/images/100_jpg.rf.d7ecf9e18d5118f442d08557f3cea4fc.jpg,d3c1c9c0c41f54f51f725575af3003a866e3a361a4bf6c9a14ddf8e08b7f6fab,c162305555fc5a95d877608cdd6c8412e0f52bbefc064937ad09f5e894fc8f48,3,212,0,640,640,False,428,640,cb58e61319441edbe3d0f97a44b2a6a2c5367c98c917f1774bf0749c4df5451c,d767fbc6bb914180386d391642cca49e8104711dcad3be1de052e096a3f607c7
train/Colete/101_jpg.rf.1d7c42b45b99bc5ca83c9275e0fcc719__obj001.png,Colete,train,train/images/101_jpg.rf.1d7c42b45b99bc5ca83c9275e0fcc719.jpg,2625da9e5bf66b3fbdbddc7b5578e54f9b4ac52c6f85f3cbf25dfcf1de40d48b,bdcb352e3f9aba59f72d245549c487bd7ca285afe721b267ee40e336e7fdda8e,1,177,237,379,640,False,202,403,c5e45fc5d0891016c01309e8ec888c0754ef03aba1457375813b725dba941343,88d5f2438b1e37bc6d0adaf4e937431361308e14a241fafe5262855e488379ff
train/Capacete/101_jpg.rf.1d7c42b45b99bc5ca83c9275e0fcc719__obj002.png,Capacete,train,train/images/101_jpg.rf.1d7c42b45b99bc5ca83c9275e0fcc719.jpg,2625da9e5bf66b3fbdbddc7b5578e54f9b4ac52c6f85f3cbf25dfcf1de40d48b,bdcb352e3f9aba59f72d245549c487bd7ca285afe721b267ee40e336e7fdda8e,2,260,17,395,179,False,135,162,ad377e39ca9b527ad94d225f57b0756864a45d8005d58527625a4ec13ddb74e2,d3df7f1328a83ebf6736a350705294c9e0779b46928d12b9b3c17f02d1934547
train/Pessoa/101_jpg.rf.1d7c42b45b99bc5ca83c9275e0fcc719__obj003.png,Pessoa,train,train/images/101_jpg.rf.1d7c42b45b99bc5ca83c9275e0fcc719.jpg,2625da9e5bf66b3fbdbddc7b5578e54f9b4ac52c6f85f3cbf25dfcf1de40d48b,bdcb352e3f9aba59f72d245549c487bd7ca285afe721b267ee40e336e7fdda8e,3,134,20,438,640,False,304,620,69a18a10b7c67d66c005ce6e4ec50902b73a7b63987ad9650a3d7285a89c44a2,2b2371c4735322afc8784f906a68931b1db12642db4fe99dea7c00453fe45432
train/Capacete/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj001.png,Capacete,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,1,25,89,122,198,False,97,109,0568a44d264a272cf584da247a9aa7436b21a71f8acf7a49771f14f94ae7cee2,b1b1dca6e27ce1553fe6b4e3e3a9c48b496ee24e6329b7f3022bdb28884ae035
train/Capacete/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj002.png,Capacete,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,2,115,109,180,223,False,65,114,ed25d8774eb835b2a44c2dd8c81ee4400b13f4859f47e93a3aebeb0db54e5230,5c9e7f3a8fbdeb2c6eae7168699b6477df5abd4482e63eaf9db9aad8e7ff9547
train/Capacete/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj003.png,Capacete,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,3,162,135,256,241,False,94,106,9922f9ea1a8bb649091af80c95d7e301892b775f480377a5abf8492e93bc389e,1fdd36b026e68d1b20bbc45d4483218f5187c181e2425a36decbe5f80ce87463
train/Capacete/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj004.png,Capacete,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,4,247,141,361,265,False,114,124,dafa83f5436f5ecc6a5cdb538726c07418953be1e66e68d585c0d79e71a9adca,c771c0ddf25e209b9ade6fcd1f488d49709b9dd2ce08ec7ec6f58efc54efa834
train/Capacete/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj005.png,Capacete,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,5,492,118,576,208,False,84,90,d26a553d63de5b741534c1c09e17fae5ce2298f28f0c20a01a0f60bb33f3558e,da495a629622ab9158b71c2d976df1928f69c5c24d6b7ede288ee5169febf381
train/Capacete/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj006.png,Capacete,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,6,394,169,481,248,False,87,79,afb913b2049a89449c71266047d3dfe9e23a3ef5ca759c0c55444fa11d889449,c6fa04183cf73fb698ea1acb1d3f1684d0481c51e0127a9082193f6948f00180
train/Capacete/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj007.png,Capacete,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,7,459,75,529,160,False,70,85,8e6aae94634b6138be365f265e37c50de83967b7ec4479ae7c183eff6605aed3,1190e4509fea7330a027bd03c71481bd258c39a0d065dc6bcb95af4ef2ed6fa3
train/Colete/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj008.png,Colete,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,8,26,233,157,574,False,131,341,66d677cc8fb31d7d1bc0e98fdcc93b67a9cc56063c89ac371c37d09ded49de57,b1a15e9c02753d3ebca639c6692f0ca7a72e79a244186c61749de95200169cbb
train/Colete/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj009.png,Colete,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,9,166,270,300,638,False,134,368,d8c52341636e360ef08b2bfcb5d30f145209024cbdd6149d17b3825a5da69838,fc5a2a1a16ec3a32fa4910b49012e70664da4067bf0f90dd7d7996089810708f
train/Colete/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj010.png,Colete,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,10,237,330,408,640,False,171,310,c6476879641f3e01653034cad3a955c3e0f84e181fbe8e0575d7b35d7f708e0a,508819754e768fb264b7a697ddb2a41eaf4d1cf185366d3f0f4c50a6ebe56401
train/Colete/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj011.png,Colete,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,11,471,262,589,640,False,118,378,daca429ee8cb3d16f10ba0f0dd3292bb659a4c179b451d14dd371746b22a6b44,9b228d20246ccb9f070c54ca4746bd2815aeb0696cde4177aaada44b74ce201b
train/Colete/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj012.png,Colete,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,12,395,278,485,490,False,90,212,6de6d6d82e536b806e29616433b2c7349ef4b35ce74196ad99069238548ee27c,d424f97a290b1e8587b2b70f1c4abb5acd1455e24e46c133b68f65b584671e7b
train/Pessoa/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj013.png,Pessoa,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,13,17,87,151,640,False,134,553,93bef5964be7c1faa58710cd1237b6e6bdc27ce00929d37c031ad799abe3061b,ac9be65c805f67736a38ae5c1a0c08646a0054d3f17050624b022c77315a350e
train/Pessoa/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj014.png,Pessoa,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,14,160,132,270,640,False,110,508,bfda4954b9226618eaede236c771c18b573f0652d6ac293cfbec017c28718c79,7ac106c3d35ce4d46d425f1e8ec4deab231447fc02f16569274a69566004da0d
train/Pessoa/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj015.png,Pessoa,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,15,250,136,425,640,False,175,504,ce020d824fa32e8909bf15574fca6b83f5fa8839bbe95df8c8c010a764f048c2,b6773466eb189b3ef606a2ee00b35307cdfc1fa0850b56e49674716d1f179077
train/Pessoa/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj016.png,Pessoa,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,16,471,92,603,640,False,132,548,9f18cd11cc05540e1e6a916cba8fb9941bb715ff3b4711441301e06e282f8c39,22630514d3884d386ff690d51c8c820671e3e8e462665a844a181d2f542964f7
train/Pessoa/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj017.png,Pessoa,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,17,386,179,482,632,False,96,453,373bafe3de1118ec79b09809a1903655b2c7ab02a162a491ba1877d6a4e72390,d38396e4e90abf5cbcad7d49aa12a2451350511622a6792179c7a186dc212208
train/Pessoa/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95__obj018.png,Pessoa,train,train/images/103_jpg.rf.a56c3d9815c5a6c0fa178920de57eb95.jpg,dcd5823fc38eda36eb4b2569f27fb9a720888bc5965acd56ef56bf1362ffb6d6,b4813e4378e3021749b06191c1589033391f76efc5a9c0f6c36e7446fc7c7496,18,563,155,640,639,False,77,484,3d5139edf293b8a4fdf0f2c5476e86f176532516d2c974e6f5351fd49e1ed519,8f8e64de13e31344c7985ddd93948e8def94c2360005ade32f8ee432240b4d4c
train/Colete/106_jpg.rf.af5b1060101b00fda3cbe16bf2dd37de__obj001.png,Colete,train,train/images/106_jpg.rf.af5b1060101b00fda3cbe16bf2dd37de.jpg,e7c389dae04adfd3556958287e1a73e2ab5045446225d8e7d68e17666039ca61,eac582e2ec28aa1481ee376e443bd8d71d9a7484e38e949f5acabd1e62f35111,1,41,259,197,474,False,156,215,99830808304b3137f5e3d88a761e0feddd9709f1902f77f46dc12e8da730b1e7,78ee4045b63506952d3ec8c4751473641345705f74f788e0c0f22474aa4eb3bc
train/Colete/106_jpg.rf.af5b1060101b00fda3cbe16bf2dd37de__obj002.png,Colete,train,train/images/106_jpg.rf.af5b1060101b00fda3cbe16bf2dd37de.jpg,e7c389dae04adfd3556958287e1a73e2ab5045446225d8e7d68e17666039ca61,eac582e2ec28aa1481ee376e443bd8d71d9a7484e38e949f5acabd1e62f35111,2,340,213,463,447,False,123,234,3a6f6241459799f113d556c21108c3816642318fa6904f9ea3608d4f4af040fc,c489693a5caa41819d2777db787ef8c3522ef3184c9fe830cc9ffbed34e2500b
